21:07:09:03:45:22[INFO ] transfergrammar.pl-90    : ##ENTERING LOAD RULE FUNC
21:07:09:03:45:22[INFO ] load.pl-362   : ###Number of Rules: 3
21:07:09:03:45:22[INFO ] load.pl-449   : RULE:,R5: NP~1(({<cm="A">})) NP~2(({<cm="A">})) => NP~1(({<cm="0">})) +CCP(({^Ora%CC<root="^Ora",lcat="conj">})) NP~2(({<cm="A">}))
,
21:07:09:03:45:22[INFO ] load.pl-201   : Parsing and Loading the Rule----5
21:07:09:03:45:22[INFO ] load.pl-202   : Lhs Parsing and Loading
21:07:09:03:45:22[INFO ] load.pl-203   : LHS::NP~1(({<cm="A">})) NP~2(({<cm="A">})) ::
21:07:09:03:45:22[INFO ] load.pl-205   : Number of Chunks:NP~1(({<cm="A">})) NP~2(({<cm="A">}))
21:07:09:03:45:22[INFO ] load.pl-226   : LHS:Chunk_tag--NP~1
21:07:09:03:45:22[INFO ] load.pl-232   : word-{<cm="A">
21:07:09:03:45:22[INFO ] load.pl-240   : word-,pos-,fs-<cm="A">
21:07:09:03:45:22[INFO ] load.pl-232   : word-))
21:07:09:03:45:22[INFO ] load.pl-256   : Headvalue:0
21:07:09:03:45:22[INFO ] load.pl-226   : LHS:Chunk_tag--NP~2
21:07:09:03:45:22[INFO ] load.pl-232   : word-{<cm="A">
21:07:09:03:45:22[INFO ] load.pl-240   : word-,pos-,fs-<cm="A">
21:07:09:03:45:22[INFO ] load.pl-232   : word-))
21:07:09:03:45:22[INFO ] load.pl-256   : Headvalue:0
21:07:09:03:45:22[INFO ] load.pl-265   : Parsing RHS
21:07:09:03:45:22[INFO ] load.pl-266   : RHS::NP~1(({<cm="0">})) +CCP(({^Ora%CC<root="^Ora",lcat="conj">})) NP~2(({<cm="A">}))
21:07:09:03:45:22[INFO ] load.pl-271   : Number of Chunks:3
21:07:09:03:45:22[INFO ] load.pl-285   : RHS:Chunk_tag-NP~1
21:07:09:03:45:22[INFO ] load.pl-320   : Word Var-,Word-,Pos-,Fs-<cm="0">
21:07:09:03:45:22[INFO ] load.pl-285   : RHS:Chunk_tag-CCP~
21:07:09:03:45:22[INFO ] load.pl-320   : Word Var-,Word-^Ora,Pos-CC,Fs-<root="^Ora",lcat="conj">
21:07:09:03:45:22[INFO ] load.pl-285   : RHS:Chunk_tag-NP~2
21:07:09:03:45:22[INFO ] load.pl-320   : Word Var-,Word-,Pos-,Fs-<cm="A">
21:07:09:03:45:22[INFO ] load.pl-362   : ###Number of Rules: 4
21:07:09:03:45:22[INFO ] load.pl-449   : RULE:,R7: NP~1(({<cm="ki">})) JJP => NP~1(({<cm="^ke_liye">}))
,
21:07:09:03:45:22[INFO ] load.pl-201   : Parsing and Loading the Rule----7
21:07:09:03:45:22[INFO ] load.pl-202   : Lhs Parsing and Loading
21:07:09:03:45:22[INFO ] load.pl-203   : LHS::NP~1(({<cm="ki">})) JJP ::
21:07:09:03:45:22[INFO ] load.pl-205   : Number of Chunks:NP~1(({<cm="ki">})) JJP
21:07:09:03:45:22[INFO ] load.pl-226   : LHS:Chunk_tag--NP~1
21:07:09:03:45:22[INFO ] load.pl-232   : word-{<cm="ki">
21:07:09:03:45:22[INFO ] load.pl-240   : word-,pos-,fs-<cm="ki">
21:07:09:03:45:22[INFO ] load.pl-232   : word-))
21:07:09:03:45:22[INFO ] load.pl-256   : Headvalue:0
21:07:09:03:45:22[INFO ] load.pl-226   : LHS:Chunk_tag--JJP~
21:07:09:03:45:22[INFO ] load.pl-256   : Headvalue:0
21:07:09:03:45:22[INFO ] load.pl-265   : Parsing RHS
21:07:09:03:45:22[INFO ] load.pl-266   : RHS::NP~1(({<cm="^ke_liye">}))
21:07:09:03:45:22[INFO ] load.pl-271   : Number of Chunks:1
21:07:09:03:45:22[INFO ] load.pl-285   : RHS:Chunk_tag-NP~1
21:07:09:03:45:22[INFO ] load.pl-320   : Word Var-,Word-,Pos-,Fs-<cm="^ke_liye">
21:07:09:03:45:22[INFO ] load.pl-362   : ###Number of Rules: 5
21:07:09:03:45:22[INFO ] load.pl-422   : Dropping:JJP~
21:07:09:03:45:22[INFO ] load.pl-449   : RULE:,R8: NP(({<root="uwwaraM",lcat="n",cm="na">})) => NP(({<root="uwwaraM",lcat="n",cm="lo">}))
,
21:07:09:03:45:22[INFO ] load.pl-201   : Parsing and Loading the Rule----8
21:07:09:03:45:22[INFO ] load.pl-202   : Lhs Parsing and Loading
21:07:09:03:45:22[INFO ] load.pl-203   : LHS::NP(({<root="uwwaraM",lcat="n",cm="na">})) ::
21:07:09:03:45:22[INFO ] load.pl-205   : Number of Chunks:NP(({<root="uwwaraM",lcat="n",cm="na">}))
21:07:09:03:45:22[INFO ] load.pl-226   : LHS:Chunk_tag--NP~
21:07:09:03:45:22[INFO ] load.pl-232   : word-{<root="uwwaraM",lcat="n",cm="na">
21:07:09:03:45:22[INFO ] load.pl-240   : word-,pos-,fs-<root="uwwaraM",lcat="n",cm="na">
21:07:09:03:45:22[INFO ] load.pl-232   : word-))
21:07:09:03:45:22[INFO ] load.pl-256   : Headvalue:0
21:07:09:03:45:22[INFO ] load.pl-265   : Parsing RHS
21:07:09:03:45:22[INFO ] load.pl-266   : RHS::NP(({<root="uwwaraM",lcat="n",cm="lo">}))
21:07:09:03:45:22[INFO ] load.pl-271   : Number of Chunks:1
21:07:09:03:45:22[INFO ] load.pl-285   : RHS:Chunk_tag-NP~
21:07:09:03:45:22[INFO ] load.pl-320   : Word Var-,Word-,Pos-,Fs-<root="uwwaraM",lcat="n",cm="lo">
21:07:09:03:45:22[INFO ] load.pl-362   : ###Number of Rules: 6
21:07:09:03:45:22[INFO ] load.pl-449   : RULE:,R9: NP(({<root="paScima",lcat="n",cm="na">})) => NP(({<root="paScima",lcat="n",cm="lo">}))
,
21:07:09:03:45:22[INFO ] load.pl-201   : Parsing and Loading the Rule----9
21:07:09:03:45:22[INFO ] load.pl-202   : Lhs Parsing and Loading
21:07:09:03:45:22[INFO ] load.pl-203   : LHS::NP(({<root="paScima",lcat="n",cm="na">})) ::
21:07:09:03:45:22[INFO ] load.pl-205   : Number of Chunks:NP(({<root="paScima",lcat="n",cm="na">}))
21:07:09:03:45:22[INFO ] load.pl-226   : LHS:Chunk_tag--NP~
21:07:09:03:45:22[INFO ] load.pl-232   : word-{<root="paScima",lcat="n",cm="na">
21:07:09:03:45:22[INFO ] load.pl-240   : word-,pos-,fs-<root="paScima",lcat="n",cm="na">
21:07:09:03:45:22[INFO ] load.pl-232   : word-))
21:07:09:03:45:22[INFO ] load.pl-256   : Headvalue:0
21:07:09:03:45:22[INFO ] load.pl-265   : Parsing RHS
21:07:09:03:45:22[INFO ] load.pl-266   : RHS::NP(({<root="paScima",lcat="n",cm="lo">}))
21:07:09:03:45:22[INFO ] load.pl-271   : Number of Chunks:1
21:07:09:03:45:22[INFO ] load.pl-285   : RHS:Chunk_tag-NP~
21:07:09:03:45:22[INFO ] load.pl-320   : Word Var-,Word-,Pos-,Fs-<root="paScima",lcat="n",cm="lo">
21:07:09:03:45:22[INFO ] load.pl-362   : ###Number of Rules: 7
21:07:09:03:45:22[INFO ] load.pl-449   : RULE:,R10: NP(({<root="xakRiNaM",lcat="n",cm="na">})) => NP(({<root="xakRiNaM",lcat="n",cm="lo">}))
,
21:07:09:03:45:22[INFO ] load.pl-201   : Parsing and Loading the Rule----10
21:07:09:03:45:22[INFO ] load.pl-202   : Lhs Parsing and Loading
21:07:09:03:45:22[INFO ] load.pl-203   : LHS::NP(({<root="xakRiNaM",lcat="n",cm="na">})) ::
21:07:09:03:45:22[INFO ] load.pl-205   : Number of Chunks:NP(({<root="xakRiNaM",lcat="n",cm="na">}))
21:07:09:03:45:22[INFO ] load.pl-226   : LHS:Chunk_tag--NP~
21:07:09:03:45:22[INFO ] load.pl-232   : word-{<root="xakRiNaM",lcat="n",cm="na">
21:07:09:03:45:22[INFO ] load.pl-240   : word-,pos-,fs-<root="xakRiNaM",lcat="n",cm="na">
21:07:09:03:45:22[INFO ] load.pl-232   : word-))
21:07:09:03:45:22[INFO ] load.pl-256   : Headvalue:0
21:07:09:03:45:22[INFO ] load.pl-265   : Parsing RHS
21:07:09:03:45:22[INFO ] load.pl-266   : RHS::NP(({<root="xakRiNaM",lcat="n",cm="lo">}))
21:07:09:03:45:22[INFO ] load.pl-271   : Number of Chunks:1
21:07:09:03:45:22[INFO ] load.pl-285   : RHS:Chunk_tag-NP~
21:07:09:03:45:22[INFO ] load.pl-320   : Word Var-,Word-,Pos-,Fs-<root="xakRiNaM",lcat="n",cm="lo">
21:07:09:03:45:22[INFO ] load.pl-362   : ###Number of Rules: 8
21:07:09:03:45:22[INFO ] load.pl-449   : RULE:,R11: NP(({<root="wUrpu",lcat="n",cm="na">})) => NP(({<root="wUrpu",lcat="n",cm="lo">}))
,
21:07:09:03:45:22[INFO ] load.pl-201   : Parsing and Loading the Rule----11
21:07:09:03:45:22[INFO ] load.pl-202   : Lhs Parsing and Loading
21:07:09:03:45:22[INFO ] load.pl-203   : LHS::NP(({<root="wUrpu",lcat="n",cm="na">})) ::
21:07:09:03:45:22[INFO ] load.pl-205   : Number of Chunks:NP(({<root="wUrpu",lcat="n",cm="na">}))
21:07:09:03:45:22[INFO ] load.pl-226   : LHS:Chunk_tag--NP~
21:07:09:03:45:22[INFO ] load.pl-232   : word-{<root="wUrpu",lcat="n",cm="na">
21:07:09:03:45:22[INFO ] load.pl-240   : word-,pos-,fs-<root="wUrpu",lcat="n",cm="na">
21:07:09:03:45:22[INFO ] load.pl-232   : word-))
21:07:09:03:45:22[INFO ] load.pl-256   : Headvalue:0
21:07:09:03:45:22[INFO ] load.pl-265   : Parsing RHS
21:07:09:03:45:22[INFO ] load.pl-266   : RHS::NP(({<root="wUrpu",lcat="n",cm="lo">}))
21:07:09:03:45:22[INFO ] load.pl-271   : Number of Chunks:1
21:07:09:03:45:22[INFO ] load.pl-285   : RHS:Chunk_tag-NP~
21:07:09:03:45:22[INFO ] load.pl-320   : Word Var-,Word-,Pos-,Fs-<root="wUrpu",lcat="n",cm="lo">
21:07:09:03:45:22[INFO ] load.pl-362   : ###Number of Rules: 9
21:07:09:03:45:22[INFO ] load.pl-449   : RULE:,R12: VGF(({uMxi%VM})) => VGF(({<root="^hE",tam="^hE">}))
,
21:07:09:03:45:22[INFO ] load.pl-201   : Parsing and Loading the Rule----12
21:07:09:03:45:22[INFO ] load.pl-202   : Lhs Parsing and Loading
21:07:09:03:45:22[INFO ] load.pl-203   : LHS::VGF(({uMxi%VM})) ::
21:07:09:03:45:22[INFO ] load.pl-205   : Number of Chunks:VGF(({uMxi%VM}))
21:07:09:03:45:22[INFO ] load.pl-226   : LHS:Chunk_tag--VGF~
21:07:09:03:45:22[INFO ] load.pl-232   : word-{uMxi%VM
21:07:09:03:45:22[INFO ] load.pl-240   : word-uMxi,pos-VM,fs-
21:07:09:03:45:22[INFO ] load.pl-232   : word-))
21:07:09:03:45:22[INFO ] load.pl-256   : Headvalue:0
21:07:09:03:45:22[INFO ] load.pl-265   : Parsing RHS
21:07:09:03:45:22[INFO ] load.pl-266   : RHS::VGF(({<root="^hE",tam="^hE">}))
21:07:09:03:45:22[INFO ] load.pl-271   : Number of Chunks:1
21:07:09:03:45:22[INFO ] load.pl-285   : RHS:Chunk_tag-VGF~
21:07:09:03:45:22[INFO ] load.pl-320   : Word Var-,Word-,Pos-,Fs-<root="^hE",tam="^hE">
21:07:09:03:45:22[INFO ] load.pl-362   : ###Number of Rules: 10
21:07:09:03:45:22[INFO ] load.pl-449   : RULE:,R13: VGF(({unnAdu%VM})) => VGF(({<root="^hE",tam="^hE">}))
,
21:07:09:03:45:22[INFO ] load.pl-201   : Parsing and Loading the Rule----13
21:07:09:03:45:22[INFO ] load.pl-202   : Lhs Parsing and Loading
21:07:09:03:45:22[INFO ] load.pl-203   : LHS::VGF(({unnAdu%VM})) ::
21:07:09:03:45:22[INFO ] load.pl-205   : Number of Chunks:VGF(({unnAdu%VM}))
21:07:09:03:45:22[INFO ] load.pl-226   : LHS:Chunk_tag--VGF~
21:07:09:03:45:22[INFO ] load.pl-232   : word-{unnAdu%VM
21:07:09:03:45:22[INFO ] load.pl-240   : word-unnAdu,pos-VM,fs-
21:07:09:03:45:22[INFO ] load.pl-232   : word-))
21:07:09:03:45:22[INFO ] load.pl-256   : Headvalue:0
21:07:09:03:45:22[INFO ] load.pl-265   : Parsing RHS
21:07:09:03:45:22[INFO ] load.pl-266   : RHS::VGF(({<root="^hE",tam="^hE">}))
21:07:09:03:45:22[INFO ] load.pl-271   : Number of Chunks:1
21:07:09:03:45:22[INFO ] load.pl-285   : RHS:Chunk_tag-VGF~
21:07:09:03:45:22[INFO ] load.pl-320   : Word Var-,Word-,Pos-,Fs-<root="^hE",tam="^hE">
21:07:09:03:45:22[INFO ] load.pl-362   : ###Number of Rules: 11
21:07:09:03:45:22[INFO ] load.pl-449   : RULE:,R14: NP(({<lcat="num">}{<root="BAgaM",tam="gA">})) => NP(({<lcat="num">}{<tam="lo">}))
,
21:07:09:03:45:22[INFO ] load.pl-201   : Parsing and Loading the Rule----14
21:07:09:03:45:22[INFO ] load.pl-202   : Lhs Parsing and Loading
21:07:09:03:45:22[INFO ] load.pl-203   : LHS::NP(({<lcat="num">}{<root="BAgaM",tam="gA">})) ::
21:07:09:03:45:22[INFO ] load.pl-205   : Number of Chunks:NP(({<lcat="num">}{<root="BAgaM",tam="gA">}))
21:07:09:03:45:22[INFO ] load.pl-226   : LHS:Chunk_tag--NP~
21:07:09:03:45:22[INFO ] load.pl-232   : word-{<lcat="num">
21:07:09:03:45:22[INFO ] load.pl-240   : word-,pos-,fs-<lcat="num">
21:07:09:03:45:22[INFO ] load.pl-232   : word-{<root="BAgaM",tam="gA">
21:07:09:03:45:22[INFO ] load.pl-240   : word-,pos-,fs-<root="BAgaM",tam="gA">
21:07:09:03:45:22[INFO ] load.pl-232   : word-))
21:07:09:03:45:22[INFO ] load.pl-256   : Headvalue:0
21:07:09:03:45:22[INFO ] load.pl-265   : Parsing RHS
21:07:09:03:45:22[INFO ] load.pl-266   : RHS::NP(({<lcat="num">}{<tam="lo">}))
21:07:09:03:45:22[INFO ] load.pl-271   : Number of Chunks:1
21:07:09:03:45:22[INFO ] load.pl-285   : RHS:Chunk_tag-NP~
21:07:09:03:45:22[INFO ] load.pl-320   : Word Var-,Word-,Pos-,Fs-<lcat="num">
21:07:09:03:45:22[INFO ] load.pl-320   : Word Var-,Word-,Pos-,Fs-<tam="lo">
21:07:09:03:45:22[INFO ] load.pl-362   : ###Number of Rules: 12
21:07:09:03:45:22[INFO ] load.pl-449   : RULE:,R16: VGF~1(({<lcat="v",tam="yA">})) NP~1(({hI%RP<root="hI">})) VGF~2(({nahIM%NEG}{%VAUX<root="jA",tam="wA">})) CCP(({balki%CC})) VGF~3(({<lcat="v",tam="yA">})) NP~2(({BI%RP<root="BI">})) VGF~4(({<root="jA",tam="wA">})) =>  VGF~1(({<lcat="v",tam="^adaM">})) NP~1(({hI%RP<root="^e">})) CCP(({<root="^gAka">})) VGF~3(({<lcat="v",tam="^adaM">})) NP~2 VGF~4(({<root="^jarugu",tam="^wunn",gen="n">})
,
21:07:09:03:45:22[INFO ] load.pl-201   : Parsing and Loading the Rule----16
21:07:09:03:45:22[INFO ] load.pl-202   : Lhs Parsing and Loading
21:07:09:03:45:22[INFO ] load.pl-203   : LHS::VGF~1(({<lcat="v",tam="yA">})) NP~1(({hI%RP<root="hI">})) VGF~2(({nahIM%NEG}{%VAUX<root="jA",tam="wA">})) CCP(({balki%CC})) VGF~3(({<lcat="v",tam="yA">})) NP~2(({BI%RP<root="BI">})) VGF~4(({<root="jA",tam="wA">})) ::
21:07:09:03:45:22[INFO ] load.pl-205   : Number of Chunks:VGF~1(({<lcat="v",tam="yA">})) NP~1(({hI%RP<root="hI">})) VGF~2(({nahIM%NEG}{%VAUX<root="jA",tam="wA">})) CCP(({balki%CC})) VGF~3(({<lcat="v",tam="yA">})) NP~2(({BI%RP<root="BI">})) VGF~4(({<root="jA",tam="wA">}))
21:07:09:03:45:22[INFO ] load.pl-226   : LHS:Chunk_tag--VGF~1
21:07:09:03:45:22[INFO ] load.pl-232   : word-{<lcat="v",tam="yA">
21:07:09:03:45:22[INFO ] load.pl-240   : word-,pos-,fs-<lcat="v",tam="yA">
21:07:09:03:45:22[INFO ] load.pl-232   : word-))
21:07:09:03:45:22[INFO ] load.pl-256   : Headvalue:0
21:07:09:03:45:22[INFO ] load.pl-226   : LHS:Chunk_tag--NP~1
21:07:09:03:45:22[INFO ] load.pl-232   : word-{hI%RP<root="hI">
21:07:09:03:45:22[INFO ] load.pl-240   : word-hI,pos-RP,fs-<root="hI">
21:07:09:03:45:22[INFO ] load.pl-232   : word-))
21:07:09:03:45:22[INFO ] load.pl-256   : Headvalue:0
21:07:09:03:45:22[INFO ] load.pl-226   : LHS:Chunk_tag--VGF~2
21:07:09:03:45:22[INFO ] load.pl-232   : word-{nahIM%NEG
21:07:09:03:45:22[INFO ] load.pl-240   : word-nahIM,pos-NEG,fs-
21:07:09:03:45:22[INFO ] load.pl-232   : word-{%VAUX<root="jA",tam="wA">
21:07:09:03:45:22[INFO ] load.pl-240   : word-,pos-VAUX,fs-<root="jA",tam="wA">
21:07:09:03:45:22[INFO ] load.pl-232   : word-))
21:07:09:03:45:22[INFO ] load.pl-256   : Headvalue:0
21:07:09:03:45:22[INFO ] load.pl-226   : LHS:Chunk_tag--CCP~
21:07:09:03:45:22[INFO ] load.pl-232   : word-{balki%CC
21:07:09:03:45:22[INFO ] load.pl-240   : word-balki,pos-CC,fs-
21:07:09:03:45:22[INFO ] load.pl-232   : word-))
21:07:09:03:45:22[INFO ] load.pl-256   : Headvalue:0
21:07:09:03:45:22[INFO ] load.pl-226   : LHS:Chunk_tag--VGF~3
21:07:09:03:45:22[INFO ] load.pl-232   : word-{<lcat="v",tam="yA">
21:07:09:03:45:22[INFO ] load.pl-240   : word-,pos-,fs-<lcat="v",tam="yA">
21:07:09:03:45:22[INFO ] load.pl-232   : word-))
21:07:09:03:45:22[INFO ] load.pl-256   : Headvalue:0
21:07:09:03:45:22[INFO ] load.pl-226   : LHS:Chunk_tag--NP~2
21:07:09:03:45:22[INFO ] load.pl-232   : word-{BI%RP<root="BI">
21:07:09:03:45:22[INFO ] load.pl-240   : word-BI,pos-RP,fs-<root="BI">
21:07:09:03:45:22[INFO ] load.pl-232   : word-))
21:07:09:03:45:22[INFO ] load.pl-256   : Headvalue:0
21:07:09:03:45:22[INFO ] load.pl-226   : LHS:Chunk_tag--VGF~4
21:07:09:03:45:22[INFO ] load.pl-232   : word-{<root="jA",tam="wA">
21:07:09:03:45:22[INFO ] load.pl-240   : word-,pos-,fs-<root="jA",tam="wA">
21:07:09:03:45:22[INFO ] load.pl-232   : word-))
21:07:09:03:45:22[INFO ] load.pl-256   : Headvalue:0
21:07:09:03:45:22[INFO ] load.pl-265   : Parsing RHS
21:07:09:03:45:22[INFO ] load.pl-266   : RHS::VGF~1(({<lcat="v",tam="^adaM">})) NP~1(({hI%RP<root="^e">})) CCP(({<root="^gAka">})) VGF~3(({<lcat="v",tam="^adaM">})) NP~2 VGF~4(({<root="^jarugu",tam="^wunn",gen="n">})
21:07:09:03:45:22[INFO ] load.pl-271   : Number of Chunks:6
21:07:09:03:45:22[INFO ] load.pl-285   : RHS:Chunk_tag-VGF~1
21:07:09:03:45:22[INFO ] load.pl-320   : Word Var-,Word-,Pos-,Fs-<lcat="v",tam="^adaM">
21:07:09:03:45:22[INFO ] load.pl-285   : RHS:Chunk_tag-NP~1
21:07:09:03:45:22[INFO ] load.pl-320   : Word Var-,Word-hI,Pos-RP,Fs-<root="^e">
21:07:09:03:45:22[INFO ] load.pl-285   : RHS:Chunk_tag-CCP~
21:07:09:03:45:22[INFO ] load.pl-320   : Word Var-,Word-,Pos-,Fs-<root="^gAka">
21:07:09:03:45:22[INFO ] load.pl-285   : RHS:Chunk_tag-VGF~3
21:07:09:03:45:22[INFO ] load.pl-320   : Word Var-,Word-,Pos-,Fs-<lcat="v",tam="^adaM">
21:07:09:03:45:22[INFO ] load.pl-285   : RHS:Chunk_tag-NP~2
21:07:09:03:45:22[INFO ] load.pl-285   : RHS:Chunk_tag-VGF~4
21:07:09:03:45:22[INFO ] load.pl-320   : Word Var-,Word-,Pos-,Fs-<root="^jarugu",tam="^wunn",gen="n">
21:07:09:03:45:22[INFO ] load.pl-362   : ###Number of Rules: 13
21:07:09:03:45:22[INFO ] load.pl-422   : Dropping:VGF~2
21:07:09:03:45:22[INFO ] load.pl-449   : RULE:,R17: JJP(({<root="$y.wa",lcat="adj">})) VGF(({hE%VAUX})) => JJP(({<root="$y.wamE",lcat="adj">})) VGF
,
21:07:09:03:45:22[INFO ] load.pl-201   : Parsing and Loading the Rule----17
21:07:09:03:45:22[INFO ] load.pl-202   : Lhs Parsing and Loading
21:07:09:03:45:22[INFO ] load.pl-203   : LHS::JJP(({<root="$y.wa",lcat="adj">})) VGF(({hE%VAUX})) ::
21:07:09:03:45:22[INFO ] load.pl-205   : Number of Chunks:JJP(({<root="$y.wa",lcat="adj">})) VGF(({hE%VAUX}))
21:07:09:03:45:22[INFO ] load.pl-226   : LHS:Chunk_tag--JJP~
21:07:09:03:45:22[INFO ] load.pl-232   : word-{<root="$y.wa",lcat="adj">
21:07:09:03:45:22[INFO ] load.pl-240   : word-,pos-,fs-<root="$y.wa",lcat="adj">
21:07:09:03:45:22[INFO ] load.pl-232   : word-))
21:07:09:03:45:22[INFO ] load.pl-256   : Headvalue:0
21:07:09:03:45:22[INFO ] load.pl-226   : LHS:Chunk_tag--VGF~
21:07:09:03:45:22[INFO ] load.pl-232   : word-{hE%VAUX
21:07:09:03:45:22[INFO ] load.pl-240   : word-hE,pos-VAUX,fs-
21:07:09:03:45:22[INFO ] load.pl-232   : word-))
21:07:09:03:45:22[INFO ] load.pl-256   : Headvalue:0
21:07:09:03:45:22[INFO ] load.pl-265   : Parsing RHS
21:07:09:03:45:22[INFO ] load.pl-266   : RHS::JJP(({<root="$y.wamE",lcat="adj">})) VGF
21:07:09:03:45:22[INFO ] load.pl-271   : Number of Chunks:2
21:07:09:03:45:22[INFO ] load.pl-285   : RHS:Chunk_tag-JJP~
21:07:09:03:45:22[INFO ] load.pl-320   : Word Var-,Word-,Pos-,Fs-<root="$y.wamE",lcat="adj">
21:07:09:03:45:22[INFO ] load.pl-285   : RHS:Chunk_tag-VGF~
21:07:09:03:45:22[INFO ] load.pl-362   : ###Number of Rules: 14
